Symbol,Stock Name,Stock Price,Expiry Date,Call Open Int,Call Open Int Change,Call Volume,Call IV,Call LTP,Call Net Change,Call Bid Qty,Call Bid Price,Call Ask Price,Call Ask Qty,Strike Price,Put Bid Qty,Put Bid price,Put Ask Price,Put Ask Qty,Put Net change,Put LTP,Put IV,Put Volume,Put Open Int Change,Put Open Int
NIFTY,Nifty Exchange,10692.3,5/31/2018,368100,6675,166,,2199.25,93.55,225,2196.85,2203.95,75,8500,16125,0.8,0.95,300,,0.8,28.67,1341,4275,181425
NIFTY,Nifty Exchange,10692.3,5/31/2018,,,,,,,,,,,8550,6000,0.5,3,3000,,,,,,
NIFTY,Nifty Exchange,10692.3,5/31/2018,676050,8850,1353,,2100.45,93.3,150,2098.2,2101.65,150,8600,525,0.95,1.1,825,0.15,1,28.02,1880,6975,136875
NIFTY,Nifty Exchange,10692.3,5/31/2018,,,,,,,,,,,8650,6000,0.5,3,3000,,,,,,
NIFTY,Nifty Exchange,10692.3,5/31/2018,29700,225,7,,1995.05,93.2,150,1996.6,2007.5,75,8700,150,1.05,1.4,75,0.1,1.05,26.86,47,1725,16650
NIFTY,Nifty Exchange,10692.3,5/31/2018,,,,,,,375,1865.5,,,8750,6000,0.55,3,3000,,,,,,
NIFTY,Nifty Exchange,10692.3,5/31/2018,53925,,,,1808.4,1.85,150,1896.8,1913.85,75,8800,1725,1.2,1.3,75,0.1,1.2,25.94,116,3975,20250
NIFTY,Nifty Exchange,10692.3,5/31/2018,,,,,,,375,1765.5,,,8850,6000,0.55,3,3000,,,,,,
NIFTY,Nifty Exchange,10692.3,5/31/2018,37875,225,3,,1798,96,150,1797.55,1822.85,75,8900,600,1.55,1.8,1575,,1.6,25.46,173,2100,22650
NIFTY,Nifty Exchange,10692.3,5/31/2018,,,,,,,375,1666.45,,,8950,1950,1.5,4,3000,,2,,,,1950
NIFTY,Nifty Exchange,10692.3,5/31/2018,2020875,4950,385,,1702.3,94.9,150,1701.55,1705.65,150,9000,300,2,2.05,4125,,2,24.78,5228,9900,1587225
NIFTY,Nifty Exchange,10692.3,5/31/2018,,,,,,,375,1565.95,,,9050,4950,1,3,375,,,,,,
NIFTY,Nifty Exchange,10692.3,5/31/2018,9300,,,,1471.25,,75,1601.05,1618.65,225,9100,75,2.75,2.9,5625,0.05,2.9,24.57,1691,45450,215175
NIFTY,Nifty Exchange,10692.3,5/31/2018,,,,,,,,,,,9150,4950,1.1,,,,,,,,
NIFTY,Nifty Exchange,10692.3,5/31/2018,68400,675,14,,1503.25,85,75,1502.05,1516.35,225,9200,600,2.8,3.45,600,0.05,3.4,23.68,2523,29475,219750
NIFTY,Nifty Exchange,10692.3,5/31/2018,,,,,,,,,,,9250,4950,1.1,,,,,,,,
NIFTY,Nifty Exchange,10692.3,5/31/2018,60900,300,14,,1404.2,83.45,150,1403.65,1410,75,9300,600,3.7,3.85,600,0.05,3.8,22.63,2186,9600,229125
NIFTY,Nifty Exchange,10692.3,5/31/2018,,,,,,,,,,,9350,6000,1.55,,,,,,,,
NIFTY,Nifty Exchange,10692.3,5/31/2018,114225,1800,37,,1314.25,90.85,75,1305.8,1313,75,9400,300,4.4,4.55,1050,0.5,4.45,21.7,2398,30225,123900
NIFTY,Nifty Exchange,10692.3,5/31/2018,,,,,,,,,,,9450,4950,1.7,,,,,,,,
NIFTY,Nifty Exchange,10692.3,5/31/2018,713175,6375,355,,1212.15,93.3,75,1210.1,1214.35,375,9500,75,5.55,5.7,5400,0.7,5.65,21.03,8557,60450,922725
NIFTY,Nifty Exchange,10692.3,5/31/2018,,,,,,,,,,,9550,4950,1.75,,,,,,,,
NIFTY,Nifty Exchange,10692.3,5/31/2018,127350,150,31,,1112,91.6,150,1110.8,1118.4,150,9600,7500,6.6,7,900,1.2,6.9,20.21,6326,5700,1191375
NIFTY,Nifty Exchange,10692.3,5/31/2018,,,,,,,,,,,9650,11850,3.45,,,,20,,,,225
NIFTY,Nifty Exchange,10692.3,5/31/2018,83100,1500,25,,1014,90.65,75,1014.55,1019.95,75,9700,225,8.75,9,1200,2,8.75,19.5,16730,518175,1384875
NIFTY,Nifty Exchange,10692.3,5/31/2018,,,,,,,,,,,9750,16875,4.1,,,,45.25,,,,75
NIFTY,Nifty Exchange,10692.3,5/31/2018,106725,1875,74,,920.7,89.2,75,917,921.4,150,9800,75,10.05,10.6,600,2.55,10.6,18.6,10312,10800,728475
NIFTY,Nifty Exchange,10692.3,5/31/2018,,,,,,,750,779,,,9850,5100,5,,,26.1,11.9,18.22,1,75,150
NIFTY,Nifty Exchange,10692.3,5/31/2018,85050,1500,43,,817,80.2,75,820.5,826.8,75,9900,1275,12.6,13.15,525,4.3,13.1,17.75,12040,20700,792675
NIFTY,Nifty Exchange,10692.3,5/31/2018,,,,,,,375,706.9,831.6,375,9950,75,14,18.45,75,7.9,14.6,17.32,357,5700,5850
NIFTY,Nifty Exchange,10692.3,5/31/2018,771525,29475,1108,,730,88.25,75,726.05,730.15,900,10000,675,16.5,16.8,1575,6.4,16.7,16.99,39215,52200,2419575
NIFTY,Nifty Exchange,10692.3,5/31/2018,75,,,,620,,375,539.75,705.35,375,10050,75,15,20,300,8.05,18.6,16.54,751,8625,14250
NIFTY,Nifty Exchange,10692.3,5/31/2018,195900,2625,136,,637.9,86.1,75,630.8,636.05,225,10100,825,21.15,21.35,525,9.65,21.35,16.21,29647,108000,1408725
NIFTY,Nifty Exchange,10692.3,5/31/2018,150,,,,488,,750,446.25,659.9,3000,10150,75,24.4,28.2,600,11.35,24.7,15.9,583,11850,21225
NIFTY,Nifty Exchange,10692.3,5/31/2018,453975,28350,786,,542,79.2,150,539.65,543.1,75,10200,75,28.1,28.4,75,13.95,28,15.51,55844,211725,2287425
NIFTY,Nifty Exchange,10692.3,5/31/2018,1500,150,4,,489.55,74.8,375,445.75,520.6,375,10250,75,30.9,33.6,75,16.25,32.9,15.27,1180,17400,38250
NIFTY,Nifty Exchange,10692.3,5/31/2018,691575,17325,1124,,454,76.4,75,450.95,454.8,75,10300,3525,38.4,38.9,450,18.5,38.55,15.03,60028,453750,2876175
NIFTY,Nifty Exchange,10692.3,5/31/2018,2925,,2,,396.2,84.2,750,394.05,448.8,375,10350,75,44.5,46.2,75,21.2,45.3,14.81,2128,18600,53925
NIFTY,Nifty Exchange,10692.3,5/31/2018,706350,86175,3574,,368,67.45,75,368,370.6,375,10400,225,52.65,53,525,24.95,53,14.58,71784,418950,2995350
NIFTY,Nifty Exchange,10692.3,5/31/2018,5550,450,36,,330.15,69.65,75,327.2,333.55,75,10450,75,60.6,62,75,29.6,60.8,14.24,2619,55650,115800
NIFTY,Nifty Exchange,10692.3,5/31/2018,1094400,90150,10576,4.42,290.75,61.8,75,288.4,290.8,150,10500,75,72,72.2,150,33.05,72,14.11,106463,703500,3767775
NIFTY,Nifty Exchange,10692.3,5/31/2018,25350,4950,254,6.79,255.25,61.2,75,250.3,258.95,225,10550,675,83,84.5,300,36.7,84.4,13.94,4932,8925,201150
NIFTY,Nifty Exchange,10692.3,5/31/2018,1728375,192150,43872,7.24,218,53.55,1950,218,218.7,75,10600,150,97.75,98.45,3150,40.8,98.45,13.78,108602,723525,2532675
NIFTY,Nifty Exchange,10692.3,5/31/2018,173550,6825,3590,7.53,183.7,47.2,525,184.1,186.45,75,10650,75,112.1,113.6,150,44.65,112.3,13.44,7170,101925,128400
NIFTY,Nifty Exchange,10692.3,5/31/2018,2303250,172575,98088,7.72,152.45,44.2,300,152,153.65,600,10700,75,130.65,132,825,49,131.8,13.4,67173,625425,1184025
NIFTY,Nifty Exchange,10692.3,5/31/2018,92550,41775,6874,7.9,125.05,38.5,75,123.1,125.7,75,10750,750,149.4,151,375,55.25,149.1,13.03,2169,37200,37425
NIFTY,Nifty Exchange,10692.3,5/31/2018,3099075,343650,97517,7.71,96.65,31.75,600,96.95,98,1050,10800,75,174.45,176.4,75,58.35,175.75,13.2,18768,97725,711600
NIFTY,Nifty Exchange,10692.3,5/31/2018,63450,24975,2789,7.86,76.55,27.5,75,75,77.2,75,10850,375,138.3,273.4,1125,,,,,,
NIFTY,Nifty Exchange,10692.3,5/31/2018,2461350,532800,87005,7.78,57.25,22.2,75,57,57.8,75,10900,75,230.8,233,150,70.45,231.5,13.22,5579,17100,971100
NIFTY,Nifty Exchange,10692.3,5/31/2018,57225,25875,1882,7.84,43.05,18.75,150,42,43,75,10950,375,202.15,373.3,375,,,,,,
NIFTY,Nifty Exchange,10692.3,5/31/2018,5112450,729075,112157,7.73,30.15,12.9,5625,30.15,30.5,600,11000,150,300.5,302,75,78,301.8,13.74,6703,112650,1158900
NIFTY,Nifty Exchange,10692.3,5/31/2018,68700,35775,1667,7.74,21.35,10.05,75,21.25,22.25,750,11050,1125,278.65,,,,,,,,
NIFTY,Nifty Exchange,10692.3,5/31/2018,1034550,348675,51683,7.85,15.4,7.35,1575,15.2,15.5,1500,11100,150,383.75,388,75,90.55,384,14.76,307,3900,94575
NIFTY,Nifty Exchange,10692.3,5/31/2018,33150,24825,1488,7.88,10.55,5.2,75,10.25,10.8,2025,11150,375,355.15,,,,,,,,
NIFTY,Nifty Exchange,10692.3,5/31/2018,731025,98925,30008,7.95,7.25,2.75,75,7,7.2,1425,11200,75,474.35,477.3,75,93.7,472.2,15.97,499,16650,229125
NIFTY,Nifty Exchange,10692.3,5/31/2018,2025,1950,42,8.31,5.9,2.9,825,5.55,6,1650,11250,375,445.65,,,,,,,,
NIFTY,Nifty Exchange,10692.3,5/31/2018,452475,183225,11504,8.07,3.25,0.6,1125,3.2,3.35,675,11300,75,568.35,572.4,75,96.1,568.65,17.79,38,375,186600
NIFTY,Nifty Exchange,10692.3,5/31/2018,,,,,,,7500,1.25,8.9,3000,11350,375,525.7,,,,,,,,
NIFTY,Nifty Exchange,10692.3,5/31/2018,143100,27900,5007,8.67,2.05,0.2,1800,2.05,2.25,600,11400,150,665.9,670.25,75,95.3,665.1,19.48,353,20850,66450
NIFTY,Nifty Exchange,10692.3,5/31/2018,,,,,,,3750,1,5.4,3000,11450,375,624.8,,,,,,,,
NIFTY,Nifty Exchange,10692.3,5/31/2018,847950,52425,6714,9.69,1.85,0.25,225,1.8,1.9,1950,11500,75,764.05,768,75,95.75,762,21.12,502,5925,654075
NIFTY,Nifty Exchange,10692.3,5/31/2018,,,,,,,6000,0.55,5.95,3000,11550,375,724.75,,,,,,,,
NIFTY,Nifty Exchange,10692.3,5/31/2018,27675,1800,277,10.55,1.55,0.35,1500,1.2,1.55,2100,11600,750,841.15,889.45,375,109,856,22.29,7,450,2625
NIFTY,Nifty Exchange,10692.3,5/31/2018,,,,,,,6750,0.25,3,3000,11650,375,824.65,,,,,,,,
NIFTY,Nifty Exchange,10692.3,5/31/2018,5250,3675,119,11,1,0.05,600,0.8,1,1500,11700,750,940.6,988.9,375,80,970,25.96,9,675,1275
NIFTY,Nifty Exchange,10692.3,5/31/2018,,,,,,,6000,0.25,2.95,6000,11750,375,924.75,,,,,,,,
NIFTY,Nifty Exchange,10692.3,5/31/2018,9750,8325,154,11.86,0.9,0.2,75,0.9,1.15,150,11800,2250,1039.45,1087.05,375,,1145,,,,975
NIFTY,Nifty Exchange,10692.3,5/31/2018,,,,,,,6000,0.25,3,6000,11850,375,1023.55,,,,,,,,
NIFTY,Nifty Exchange,10692.3,5/31/2018,3600,825,15,12.92,0.95,0.25,750,0.75,0.95,4800,11900,2250,1138.3,1190.5,2250,2.85,1245,,,,975
NIFTY,Nifty Exchange,10692.3,5/31/2018,,,,,,,6000,0.25,3,6000,11950,,,,,,,,,,
NIFTY,Nifty Exchange,10692.3,5/31/2018,914925,316725,19629,13.32,0.65,,284175,0.65,0.7,11700,12000,75,1259.95,1265.5,75,97.05,1256.9,29.64,632,4050,1500150
NIFTY,Nifty Exchange,10692.3,5/31/2018,,,,,,,6000,0.25,1.75,3000,12050,,,,,,,,,,
NIFTY,Nifty Exchange,10692.3,5/31/2018,40500,300,258,14.12,0.6,0.1,5025,0.6,0.7,7500,12100,150,1358.2,1364,75,94.05,1355.55,31.16,151,3225,48300
