Symbol,Stock Name,Stock Price,Expiry Date,Call Open Int,Call Open Int Change,Call Volume,Call IV,Call LTP,Call Net Change,Call Bid Qty,Call Bid Price,Call Ask Price,Call Ask Qty,Strike Price,Put Bid Qty,Put Bid price,Put Ask Price,Put Ask Qty,Put Net change,Put LTP,Put IV,Put Volume,Put Open Int Change,Put Open Int
SBIN,State Bank Of India,243.2,5/31/2018,,,,,,,6000,38,40.6,6000,205,3000,0.35,1.3,9000,1.8,0.55,36.48,9,21000,21000
SBIN,State Bank Of India,243.2,5/31/2018,9000,9000,3,,35,33.65,6000,33.2,35.7,6000,210,3000,0.85,0.9,63000,1,0.9,36.35,717,717000,1026000
SBIN,State Bank Of India,243.2,5/31/2018,,,,,,,15000,28.8,30.8,21000,215,3000,1.3,1.35,150000,1.5,1.3,35.37,218,303000,333000
SBIN,State Bank Of India,243.2,5/31/2018,39000,15000,17,18.03,25.35,6.45,21000,24.5,26.7,6000,220,3000,1.95,2.1,9000,2.1,1.95,35.01,1168,1035000,2127000
SBIN,State Bank Of India,243.2,5/31/2018,75000,36000,17,26.26,21.6,6.9,9000,20.1,22.3,3000,225,3000,2.75,2.95,9000,2.65,2.85,34.72,369,57000,324000
SBIN,State Bank Of India,243.2,5/31/2018,111000,75000,186,27.22,17.75,5.7,3000,17.6,17.9,3000,230,6000,4,4.1,3000,3.6,4,34.27,1118,39000,909000
SBIN,State Bank Of India,243.2,5/31/2018,243000,30000,314,28.65,14.5,5,3000,14.25,14.4,3000,235,3000,5.2,5.7,3000,4.1,5.7,34.69,673,81000,489000
SBIN,State Bank Of India,243.2,5/31/2018,909000,348000,2713,29.09,11.5,4.05,3000,11.35,11.6,6000,240,12000,7.5,7.7,6000,5.1,7.6,34.45,1717,120000,1452000
SBIN,State Bank Of India,243.2,5/31/2018,471000,45000,1257,29.12,8.85,3.1,12000,8.8,9.1,3000,245,3000,9.75,10.3,6000,5.9,10.15,35.12,527,204000,390000
SBIN,State Bank Of India,243.2,5/31/2018,3567000,72000,3895,29.83,6.85,2.4,3000,6.8,6.9,12000,250,3000,12.75,13.1,6000,6.6,13,35.52,313,51000,795000
SBIN,State Bank Of India,243.2,5/31/2018,363000,72000,519,30.16,5.15,1.85,9000,5.1,5.3,3000,255,3000,15.55,17.1,6000,5,16,35.21,7,3000,33000
SBIN,State Bank Of India,243.2,5/31/2018,1770000,96000,2355,30.83,3.9,1.45,3000,3.9,4,9000,260,3000,19.5,20,3000,7.45,20.1,37.76,32,9000,459000
SBIN,State Bank Of India,243.2,5/31/2018,330000,201000,298,31.33,2.9,1,6000,2.8,3,6000,265,21000,23,25.2,27000,3.35,23.4,36.29,1,,72000
SBIN,State Bank Of India,243.2,5/31/2018,1560000,333000,862,31.87,2.15,0.75,6000,2.1,2.2,3000,270,3000,27.25,29.1,6000,8.15,28,39.26,15,12000,318000
SBIN,State Bank Of India,243.2,5/31/2018,279000,213000,247,32.19,1.55,0.55,3000,1.55,1.8,3000,275,3000,31.6,33.7,21000,10.25,30.75,31.87,1,,48000
SBIN,State Bank Of India,243.2,5/31/2018,786000,144000,592,33.2,1.2,0.4,33000,1.1,1.2,6000,280,6000,36.05,38.45,6000,0.25,46.2,,,,243000
SBIN,State Bank Of India,243.2,5/31/2018,141000,111000,106,33.87,0.9,0.4,3000,0.85,1,12000,285,6000,40.45,43.25,6000,,48,,,,6000
SBIN,State Bank Of India,243.2,5/31/2018,447000,156000,206,34.25,0.65,0.15,24000,0.65,0.75,21000,290,6000,44.95,47.9,6000,10.45,45,36.68,5,3000,288000
SBIN,State Bank Of India,243.2,5/31/2018,75000,69000,50,35.72,0.55,0.45,6000,0.5,0.75,3000,295,6000,49.8,52.6,6000,,,,,,
SBIN,State Bank Of India,243.2,5/31/2018,1470000,597000,441,36.86,0.45,0.1,48000,0.4,0.45,6000,300,6000,54.75,57.45,6000,9.35,55.75,49.44,13,21000,519000
SBIN,State Bank Of India,243.2,5/31/2018,6000,6000,4,36.63,0.3,3.4,18000,0.2,0.4,3000,305,6000,59.6,62.55,6000,1.05,71.2,,,,12000
SBIN,State Bank Of India,243.2,5/31/2018,222000,153000,64,37.77,0.25,0.05,39000,0.2,0.35,12000,310,6000,64.5,67.45,6000,0.1,74.45,,,,81000
SBIN,State Bank Of India,243.2,5/31/2018,,,,,,,6000,0.15,0.3,9000,315,6000,69.45,72.25,6000,,,,,,
SBIN,State Bank Of India,243.2,5/31/2018,117000,60000,20,40.63,0.2,,15000,0.15,0.2,27000,320,3000,63.2,80,3000,1.2,84,105.22,1,3000,99000
SBIN,State Bank Of India,243.2,5/31/2018,42000,,2,45.99,0.25,0.15,24000,0.1,0.15,24000,330,6000,84.25,87.15,6000,0.2,94.55,,,,120000
SBIN,State Bank Of India,243.2,5/31/2018,15000,,12,48.3,0.2,0.15,3000,0.2,0.3,6000,340,6000,93.95,97,6000,9,95,66.74,1,3000,81000
SBIN,State Bank Of India,243.2,5/31/2018,12000,3000,1,53.5,0.25,0.25,6000,0.1,0.5,6000,350,6000,104.05,107.05,6000,7.2,105.3,75.15,9,24000,81000
SBIN,State Bank Of India,243.2,5/31/2018,,,,,,,3000,0.05,0.3,3000,360,6000,113.8,117,6000,,124,,,,12000
SBIN,State Bank Of India,243.2,5/31/2018,,,,,,,,,0.3,6000,370,6000,123.95,126.95,6000,,,,,,
SBIN,State Bank Of India,243.2,5/31/2018,,,,,,,,,0.3,6000,380,6000,133.9,136.9,6000,,140.85,,,,9000
SBIN,State Bank Of India,243.2,5/31/2018,,,,,,,,,0.95,3000,390,6000,143.8,146.8,6000,,,,,,
